[NODE]-[N4]-[1]-[2]     [BEAMCOLUMN]-[E3]-[1]-[2]
-8.4     -45.7212
-7.2     -39.1896
-6     -32.658
-4.8     -26.1264
-3.6     -19.5948
-2.4     -13.0632
-1.2     -6.5316
2.35367e-14     3.25667e-14
1.2     6.5316
2.4     13.0632
3.6     19.5948
4.8     26.1264
6     32.658
7.2     39.1896
8.4     45.7212
9.6     52.2528
10.8     58.7844
12     65.316
13.2     71.8476
14.4     78.3792
15.6     84.9109
16.8     91.4425
18     97.9741
19.2     104.506
20.4     111.037
21.6     117.569
22.8     124.1
24     130.632
25.2     137.164
26.4     143.695
27.6     150.227
28.8     156.758
30     163.29
28.8     156.758
27.6     150.227
26.4     143.695
25.2     137.164
24     130.632
22.8     124.1
21.6     117.569
20.4     111.037
19.2     104.506
18     97.9741
16.8     91.4425
15.6     84.9109
14.4     78.3792
13.2     71.8476
12     65.316
10.8     58.7844
9.6     52.2528
8.4     45.7212
7.2     39.1896
6     32.658
4.8     26.1264
3.6     19.5948
2.4     13.0632
1.2     6.5316
2.26485e-14     3.83401e-14
-1.2     -6.5316
-2.4     -13.0632
-3.6     -19.5948
-4.8     -26.1264
-6     -32.658
-7.2     -39.1896
-8.4     -45.7212
-9.6     -52.2528
-10.8     -58.7844
-12     -65.316
-13.2     -71.8476
-14.4     -78.3792
-15.6     -84.9109
-16.8     -91.4425
-18     -97.9741
-19.2     -104.506
-20.4     -111.037
-21.6     -117.569
-22.8     -124.1
-24     -130.632
-25.2     -137.164
-26.4     -143.695
-27.6     -150.227
-28.8     -156.758
-30     -163.29
-28.8     -156.758
-27.6     -150.227
-26.4     -143.695
-25.2     -137.164
-24     -130.632
-22.8     -124.1
-21.6     -117.569
-20.4     -111.037
-19.2     -104.506
-18     -97.9741
-16.8     -91.4425
-15.6     -84.9109
-14.4     -78.3792
-13.2     -71.8476
-12     -65.316
-10.8     -58.7844
-9.6     -52.2528
-8.4     -45.7212
-7.2     -39.1896
-6     -32.658
-4.8     -26.1264
-3.6     -19.5948
-2.4     -13.0632
-1.2     -6.5316
2.35367e-14     3.25667e-14
1.2     6.5316
2.4     13.0632
3.6     19.5948
4.8     26.1264
6     32.658
7.2     39.1896
8.4     45.7212
9.6     52.2528
10.8     58.7844
12     65.316
13.2     71.8476
14.4     78.3792
15.6     84.9109
16.8     91.4425
18     97.9741
19.2     104.506
20.4     111.037
21.6     117.569
22.8     124.1
24     130.632
25.2     137.164
26.4     143.695
27.6     150.227
28.8     156.758
30     163.29
28.8     156.758
27.6     150.227
26.4     143.695
25.2     137.164
24     130.632
22.8     124.1
21.6     117.569
20.4     111.037
19.2     104.506
18     97.9741
16.8     91.4425
15.6     84.9109
14.4     78.3792
13.2     71.8476
12     65.316
10.8     58.7844
9.6     52.2528
8.4     45.7212
7.2     39.1896
6     32.658
4.8     26.1264
3.6     19.5948
2.4     13.0632
1.2     6.5316
2.26485e-14     3.83401e-14
-1.2     -6.5316
-2.4     -13.0632
-3.6     -19.5948
-4.8     -26.1264
-6     -32.658
-7.2     -39.1896
-8.4     -45.7212
-9.6     -52.2528
-10.8     -58.7844
-12     -65.316
-13.2     -71.8476
-14.4     -78.3792
-15.6     -84.9109
-16.8     -91.4425
-18     -97.9741
-19.2     -104.506
-20.4     -111.037
-21.6     -117.569
-22.8     -124.1
-24     -130.632
-25.2     -137.164
-26.4     -143.695
-27.6     -150.227
-28.8     -156.758
-30     -163.29
-28.5     -155.126
-27     -146.961
-25.5     -138.797
-24     -130.632
-22.5     -122.468
-21     -114.303
-19.5     -106.139
-18     -97.9741
-16.5     -89.8096
-15     -81.6451
-13.5     -73.4805
-12     -65.316
-10.5     -57.1515
-9     -48.987
-7.5     -40.8225
-6     -32.658
-4.5     -24.4935
-3     -16.329
