U_Link_disp     U_Link_shear
0.0274865     -324.183
0.0273254     -398.526
0.0271643     -472.869
0.0270033     -547.213
0.0268422     -621.556
0.0266811     -695.899
0.02652     -770.242
0.026359     -844.586
0.0261979     -918.929
0.026046     -989.043
0.0259498     -1033.41
0.0258767     -1067.16
0.0257903     -1095.59
0.0254225     -1117.99
0.024833     -1136.33
0.0241017     -1152.09
0.0232698     -1166.04
0.0223618     -1178.61
0.0213938     -1190.1
0.0203767     -1200.7
0.0193186     -1210.56
0.0182257     -1219.8
0.0171026     -1228.48
0.015953     -1236.7
0.0147801     -1244.49
0.0135862     -1251.91
0.0123735     -1258.98
0.0111438     -1265.75
0.00989861     -1272.25
0.00863914     -1278.48
0.00736657     -1284.48
0.00608188     -1290.26
0.00478596     -1295.84
0.00347959     -1301.23
0.00216344     -1306.45
0.000838147     -1311.5
-0.000495733     -1316.4
-0.00183769     -1321.15
-0.00318728     -1325.76
-0.00454407     -1330.25
-0.00590768     -1334.61
-0.00727775     -1338.86
-0.00865398     -1343
-0.0100361     -1347.03
-0.0114237     -1350.96
-0.0128167     -1354.79
-0.0142147     -1358.53
-0.0156176     -1362.19
-0.0170252     -1365.76
-0.0184373     -1369.25
-0.0198536     -1372.67
-0.021274     -1376.01
-0.0226984     -1379.28
-0.0241266     -1382.48
-0.0255585     -1385.61
-0.0269939     -1388.68
-0.0284327     -1391.69
-0.0298748     -1394.64
-0.03132     -1397.53
-0.0327684     -1400.37
-0.0342197     -1403.15
-0.0356739     -1405.89
-0.0371309     -1408.57
-0.0385906     -1411.2
-0.0400529     -1413.78
-0.0415177     -1416.32
-0.0429851     -1418.82
-0.0444547     -1421.27
-0.0459268     -1423.68
-0.047401     -1426.05
-0.0488775     -1428.38
-0.0503561     -1430.67
-0.0518368     -1432.92
-0.0533195     -1435.13
-0.0548042     -1437.31
-0.0562907     -1439.46
-0.0577792     -1441.57
-0.0592695     -1443.65
-0.0590762     -1354.44
-0.0588829     -1265.23
-0.0586896     -1176.01
-0.0584963     -1086.8
-0.058303     -997.591
-0.0581097     -908.379
-0.0579164     -819.167
-0.0577231     -729.955
-0.0575298     -640.743
-0.0573365     -551.531
-0.0571432     -462.319
-0.0569499     -373.107
-0.0567567     -283.896
-0.0565634     -194.684
-0.0563701     -105.472
-0.0561768     -16.2598
-0.0559835     72.952
-0.0557902     162.164
-0.0555969     251.376
-0.0554036     340.588
-0.0552103     429.8
-0.055017     519.012
-0.0548237     608.223
-0.0546304     697.435
-0.0544371     786.647
-0.0542439     875.859
-0.0540799     951.545
-0.0539783     998.412
-0.0538898     1035.35
-0.053459     1063.52
-0.052727     1085.86
-0.0518141     1104.74
-0.0507774     1121.26
-0.0496491     1136.04
-0.0484497     1149.47
-0.0471929     1161.81
-0.0458884     1173.25
-0.0445437     1183.93
-0.0431643     1193.95
-0.0417547     1203.41
-0.0403184     1212.36
-0.0388583     1220.86
-0.0373769     1228.97
-0.0358762     1236.71
-0.0343579     1244.12
-0.0328236     1251.24
-0.0312744     1258.07
-0.0297117     1264.65
-0.0281362     1270.99
-0.0265491     1277.12
-0.0249509     1283.04
-0.0233424     1288.77
-0.0217244     1294.31
-0.0200972     1299.69
-0.0184615     1304.91
-0.0168177     1309.98
-0.0151662     1314.91
-0.0135075     1319.7
-0.0118419     1324.36
-0.0101697     1328.91
-0.00849127     1333.33
-0.00680688     1337.65
-0.00511679     1341.86
-0.00342124     1345.97
-0.00172047     1349.98
-1.47008e-05     1353.9
0.00169588     1357.73
0.00341107     1361.48
0.00513071     1365.14
0.00685462     1368.73
0.00858264     1372.24
0.0103146     1375.67
0.0120504     1379.04
0.01379     1382.34
0.015533     1385.57
0.0172796     1388.73
0.0190295     1391.84
0.0207826     1394.89
0.0225388     1397.88
0.0242981     1400.81
0.0260603     1403.69
0.0278253     1406.51
0.0295932     1409.29
0.0313637     1412.01
0.0331368     1414.69
0.0349125     1417.32
0.0366906     1419.91
0.0384712     1422.45
0.0402541     1424.95
0.0420392     1427.4
0.0438266     1429.82
0.0456161     1432.2
0.0474078     1434.53
0.0492015     1436.83
0.0509971     1439.1
0.0527948     1441.32
0.0545943     1443.51
0.0563957     1445.67
0.0581989     1447.8
0.0600039     1449.89
0.0598106     1360.68
0.0596173     1271.46
0.0594241     1182.25
0.0592308     1093.04
0.0590375     1003.83
0.0588442     914.616
0.0586509     825.404
0.0584576     736.193
0.0582643     646.981
0.058071     557.769
0.0578777     468.557
0.0576844     379.345
0.0574911     290.133
0.0572978     200.921
0.0571045     111.709
0.0569112     22.4974
0.056718     -66.7145
0.0565247     -155.926
0.0563314     -245.138
0.0561381     -334.35
0.0559448     -423.562
0.0557515     -512.774
0.0555582     -601.986
0.0553649     -691.198
