L_Link_disp     L_Link_shear
-0.0744867     -2068.98
-0.0761175     -2071.52
-0.0777475     -2074.03
-0.0775442     -1941.06
-0.0773408     -1808.1
-0.0771374     -1675.13
-0.0769341     -1542.17
-0.0767307     -1409.2
-0.0765274     -1276.24
-0.076324     -1143.27
-0.0761206     -1010.31
-0.0759173     -877.34
-0.0757139     -744.375
-0.0755106     -611.409
-0.0753072     -478.443
-0.0751038     -345.478
-0.0749005     -212.512
-0.0746971     -79.5467
-0.0744938     53.4189
-0.0742904     186.384
-0.074087     319.35
-0.0738837     452.316
-0.0736803     585.281
-0.073477     718.247
-0.0732736     851.212
-0.0730703     984.178
-0.0728669     1117.14
-0.0726635     1250.11
-0.0724602     1383.07
-0.0716715     1493.27
-0.0696357     1554.94
-0.0671798     1599.98
-0.0647497     1633.5
-0.0624194     1660.03
-0.0601507     1682.43
-0.0579245     1702.02
-0.0557299     1719.53
-0.0535599     1735.44
-0.0514098     1750.05
-0.0492764     1763.59
-0.0471571     1776.23
-0.0450499     1788.09
-0.0429534     1799.27
-0.0408663     1809.86
-0.0387876     1819.92
-0.0367164     1829.5
-0.0346521     1838.65
-0.0325941     1847.42
-0.0305418     1855.82
-0.0284947     1863.9
-0.0264526     1871.68
-0.0244149     1879.18
-0.0223815     1886.42
-0.0203521     1893.41
-0.0183264     1900.18
-0.0163041     1906.74
-0.0142851     1913.1
-0.0122692     1919.27
-0.0102563     1925.26
-0.00824607     1931.09
-0.00623852     1936.75
-0.00423348     1942.27
-0.00223082     1947.64
-0.000230444     1952.88
0.00176776     1957.98
0.00376388     1962.96
0.00575801     1967.82
0.00775023     1972.57
0.00974062     1977.21
0.0117292     1981.74
0.0137162     1986.17
0.0157015     1990.51
0.0176852     1994.75
0.0196674     1998.91
0.0216482     2002.97
0.0236276     2006.96
0.0256056     2010.86
0.0275822     2014.69
0.0295576     2018.44
0.0315318     2022.12
0.0335048     2025.73
0.0354766     2029.27
0.0374474     2032.75
0.039417     2036.16
0.0413855     2039.51
0.0433531     2042.8
0.0453196     2046.04
0.0472852     2049.21
0.0492499     2052.33
0.0512136     2055.4
0.0531764     2058.42
0.0551384     2061.38
0.0570995     2064.3
0.0590599     2067.17
0.0610194     2069.99
0.0629781     2072.77
0.0649361     2075.5
0.0668933     2078.19
0.0688498     2080.83
0.0708056     2083.44
0.0727607     2086
0.0747151     2088.53
0.0766689     2091.02
0.0764656     1958.05
0.0762622     1825.09
0.0760588     1692.12
0.0758555     1559.15
0.0756521     1426.19
0.0754488     1293.22
0.0752454     1160.26
0.075042     1027.29
0.0748387     894.327
0.0746353     761.361
0.074432     628.396
0.0742286     495.43
0.0740253     362.465
0.0738219     229.499
0.0736185     96.5335
0.0734152     -36.432
0.0732118     -169.398
0.0730085     -302.363
0.0728051     -435.329
0.0726017     -568.294
0.0723984     -701.26
0.072195     -834.225
0.0719917     -967.191
0.0717883     -1100.16
0.0715849     -1233.12
0.0713816     -1366.09
0.0705999     -1476.55
0.0685778     -1538.76
0.0661356     -1584.23
0.0637228     -1618.03
0.0614074     -1644.82
0.0591521     -1667.45
0.0569382     -1687.26
0.0547551     -1704.98
0.0525961     -1721.07
0.0504565     -1735.87
0.0483331     -1749.58
0.0462235     -1762.38
0.0441257     -1774.4
0.0420383     -1785.74
0.03996     -1796.47
0.0378899     -1806.67
0.0358271     -1816.4
0.033771     -1825.68
0.031721     -1834.58
0.0296765     -1843.11
0.0276372     -1851.31
0.0256026     -1859.21
0.0235724     -1866.83
0.0215463     -1874.18
0.019524     -1881.29
0.0175053     -1888.18
0.01549     -1894.84
0.0134778     -1901.31
0.0114686     -1907.58
0.00946229     -1913.68
0.00745863     -1919.6
0.00545751     -1925.37
0.00345881     -1930.98
0.00146242     -1936.45
-0.000531783     -1941.78
-0.00252389     -1946.98
-0.00451399     -1952.05
-0.00650217     -1957
-0.00848851     -1961.83
-0.0104731     -1966.56
-0.012456     -1971.18
-0.0144372     -1975.7
-0.0164169     -1980.12
-0.0183951     -1984.45
-0.0203719     -1988.68
-0.0223472     -1992.83
-0.0243212     -1996.9
-0.0262939     -2000.88
-0.0282653     -2004.79
-0.0302356     -2008.61
-0.0322046     -2012.37
-0.0341725     -2016.06
-0.0361393     -2019.67
-0.038105     -2023.22
-0.0400697     -2026.71
-0.0420334     -2030.13
-0.0439961     -2033.49
-0.0459578     -2036.8
-0.0479186     -2040.04
-0.0498786     -2043.23
-0.0518376     -2046.37
-0.0537959     -2049.45
-0.0557533     -2052.49
-0.0577099     -2055.47
-0.0596657     -2058.4
-0.0616207     -2061.29
-0.063575     -2064.13
-0.0655286     -2066.93
-0.0674815     -2069.68
-0.0694337     -2072.39
-0.0713852     -2075.06
-0.0733361     -2077.68
-0.0752864     -2080.27
-0.077236     -2082.82
-0.0770326     -1949.85
-0.0768293     -1816.89
-0.0766259     -1683.92
-0.0764226     -1550.96
-0.0762192     -1417.99
-0.0760158     -1285.02
-0.0758125     -1152.06
-0.0756091     -1019.09
-0.0754058     -886.128
-0.0752024     -753.162
-0.074999     -620.196
-0.0747957     -487.231
-0.0745923     -354.265
-0.074389     -221.3
-0.0741856     -88.3341
-0.0739822     44.6314
-0.0737789     177.597
-0.0735755     310.563
-0.0733722     443.528
-0.0731688     576.494
-0.0729655     709.459
-0.0727621     842.425
-0.0725587     975.39
-0.0723554     1108.36
-0.072152     1241.32
-0.0719487     1374.29
-0.0711636     1484.62
-0.069135     1546.57
-0.0666862     1591.83
-0.0642649     1625.5
-0.0619422     1652.17
-0.0596802     1674.69
-0.0574602     1694.39
-0.0552713     1712.01
-0.0531068     1728.02
-0.0509619     1742.73
-0.0488335     1756.36
-0.0467189     1769.08
-0.0446164     1781.03
-0.0425243     1792.29
-0.0404415     1802.96
-0.038367     1813.09
-0.0362999     1822.74
-0.0342396     1831.97
-0.0321855     1840.8
-0.030137     1849.27
-0.0280937     1857.42
-0.0260552     1865.26
-0.0240212     1872.82
-0.0219913     1880.12
-0.0199653     1887.17
-0.0179429     1894
-0.015924     1900.61
-0.0139083     1907.03
-0.0118957     1913.25
-0.00988588     1919.3
-0.00787883     1925.18
-0.00587437     1930.89
-0.00387236     1936.46
-0.00187271     1941.88
0.000124711     1947.17
0.00211999     1952.32
0.00411324     1957.35
0.00610452     1962.25
0.00809394     1967.05
0.0100816     1971.73
0.0120674     1976.31
0.0140517     1980.79
0.0160343     1985.17
0.0180154     1989.45
0.019995     1993.65
0.0219732     1997.76
0.02395     2001.79
0.0259255     2005.73
0.0278997     2009.6
0.0298726     2013.39
0.0318443     2017.11
0.0338149     2020.76
0.0357843     2024.34
