qc av (%)	Lateral Force (kN)
0.086666772	154
0.092296443	164.07
0.097059134	174.23
0.079638158	184.33
0.107899119	194.11
0.108910519	204.04
0.113964257	214.47
0.122932401	224.11
0.11738993	234.39
0.128692307	244.29
0.123688113	231.39
0.1240429	220.97
0.108350399	211.15
0.11259209	200.9
0.11048778	191.37
0.108947953	180.96
0.109107231	171.01
0.081256177	161.07
0.086108899	151.29
0.074608323	141.41
0.077506987	131.32
0.078161684	121.36
0.078941603	111.74
0.07560391	101.53
0.04994363	91.62
0.045111592	81.83
0.043019526	72.07
0.026671838	61.72
0.026992171	52.03
0.020550422	41.86
0.028154112	31.75
0.018539686	21.46
0.011130235	11.44
0.00114629	1.72
0.004122537	-7.9
-0.002992469	-17.64
-0.007816594	-27.68
-0.013481459	-37.55
-0.020832625	-47.67
-0.031494636	-57.33
-0.039866557	-67.31
-0.048561308	-77.66
-0.043589373	-87.74
-0.044257052	-97.91
-0.044458331	-108.19
-0.050475714	-117.78
-0.06796416	-128.04
-0.072101592	-138.43
-0.074322176	-148.6
-0.077346233	-158.81
-0.086758534	-168.83
-0.095904948	-178.98
-0.108953955	-189.47
-0.111354208	-199.46
-0.111153161	-209.62
-0.113509008	-220.02
-0.127106427	-230.02
-0.129207643	-240.6
-0.136776988	-227.97
-0.122420485	-216.83
-0.112895793	-206.45
-0.106858677	-196.25
-0.105187799	-186.22
-0.086605719	-175.83
-0.091155606	-165.33
-0.09080404	-155.38
-0.093140329	-144.86
-0.077801049	-134.45
-0.079215879	-124.44
-0.075512407	-114.16
-0.080940765	-104.37
-0.057558384	-94.19
-0.05943435	-84.15
-0.039761542	-73.99
-0.029483282	-63.87
-0.043744553	-53.76
-0.042153781	-44.06
-0.013280956	-34.3
-0.012438248	-24.44
-0.02793507	-14.46
-0.014928601	-5.02
-0.013350472	4.9
0.006914858	14.33
0.023087274	24.66
0.009685024	34.76
0.020061149	45.06
0.016555452	54.86
0.028792002	64.63
0.043881098	74.55
0.034378937	84.39
0.052633349	94.74
0.041628931	104.47
0.058869035	114.24
0.056448234	124.21
0.110130779	133.7
0.078228294	144.13
0.088061872	154.53
0.090680598	164.24
0.105457551	174.18
0.097668408	184.64
0.110407735	194.36
0.114213162	204.15
0.118976951	214.5
0.121644194	224.32
0.122562384	234.71
0.140030167	244.63
0.113034908	231.57
0.105035555	220.96
0.125819273	210.93
0.123625391	201.1
0.117073574	190.88
0.120854129	181.14
0.106154643	171.23
0.100088874	160.89
0.094032427	150.99
0.085861646	141.5
0.061480625	131.43
0.085839761	121.31
0.056599374	111.63
0.071268822	101.54
0.052181414	91.81
0.063724985	81.82
0.038736047	72.01
0.041434326	61.68
0.027154561	52.04
0.020367114	41.93
0.013511877	31.71
0.006776564	21.47
0.019960649	11.45
0.011491115	1.84
0.007112847	-7.94
0.004604122	-17.73
-0.007958211	-27.27
-0.011089165	-37.42
-0.013641153	-47.35
-0.038039887	-57.5
-0.029933013	-67.24
-0.031895834	-77.3
-0.036794637	-87.84
-0.056846091	-97.74
-0.051066028	-108.05
-0.056117091	-117.89
-0.066778612	-128.17
-0.069470284	-138.54
-0.070447382	-148.71
-0.082307214	-158.53
-0.078767978	-168.73
-0.095782805	-178.92
-0.096611682	-189.19
-0.102180952	-199.37
-0.105106883	-209.82
-0.110590051	-219.92
-0.135686662	-230.19
-0.132232613	-240.75
-0.13248651	-227.74
-0.11801035	-217.07
-0.111650149	-206.23
-0.111443865	-196.44
-0.123614271	-186.16
-0.099458394	-175.82
-0.089433141	-165.52
-0.092102609	-155.28
-0.078201389	-144.97
-0.082115694	-134.57
-0.06651513	-124.42
-0.082200798	-114.35
-0.068739813	-104.23
-0.057449867	-94.13
-0.048340772	-84.26
-0.031321131	-73.7
-0.050980515	-64.09
-0.044846556	-54.14
-0.041061191	-44.12
-0.023650783	-34.42
-0.021374401	-24.23
-0.023767403	-14.57
0.005984527	-4.87
0.011432183	5.24
0.001307238	14.53
0.000740678	24.71
0.010894753	34.66
-0.002940467	44.84
0.018671981	54.88
0.013933056	64.64
0.043284287	74.6
0.049910045	84.54
0.052521723	94.6
0.061382061	104.45
0.064839594	114.28
0.075750425	123.98
0.080735174	133.86
