longitudinal	transverse	vertical
-0.100 	0.070 	-0.180 
-0.240 	-0.020 	-0.210 
-0.220 	-0.100 	0.270 
-0.070 	0.100 	-0.150 
-0.090 	0.000 	-0.030 
0.020 	-0.130 	0.240 
0.120 	0.070 	-0.230 
0.080 	-0.020 	0.130 
0.100 	-0.140 	0.070 
0.130 	0.070 	-0.320 
0.120 	0.020 	0.250 
-0.050 	-0.070 	-0.180 
-0.080 	0.010 	-0.180 
0.000 	-0.010 	0.390 
-0.230 	-0.040 	-0.380 
-0.200 	-0.140 	-0.040 
-0.110 	0.030 	0.390 
-0.160 	0.030 	-0.420 
-0.040 	-0.170 	0.010 
-0.010 	0.000 	0.430 
0.120 	0.020 	-0.220 
0.000 	-0.050 	-0.030 
-0.020 	-0.020 	0.240 
0.270 	0.020 	-0.070 
-0.080 	-0.030 	0.060 
-0.040 	-0.070 	-0.030 
0.190 	0.020 	-0.130 
-0.150 	0.010 	0.210 
-0.120 	0.080 	-0.140 
-0.140 	-0.020 	0.000 
-0.240 	-0.010 	0.280 
-0.100 	0.060 	-0.390 
0.010 	-0.080 	0.240 
0.090 	0.070 	0.380 
-0.020 	-0.010 	-0.600 
0.080 	-0.030 	0.160 
0.260 	0.110 	0.260 
-0.010 	-0.030 	-0.360 
-0.030 	0.020 	0.210 
0.090 	-0.020 	0.010 
-0.030 	0.020 	-0.220 
-0.120 	-0.020 	0.270 
-0.190 	-0.230 	-0.110 
-0.070 	0.140 	-0.170 
-0.220 	0.030 	0.210 
-0.060 	-0.260 	-0.120 
0.160 	0.160 	0.090 
-0.180 	0.100 	0.130 
0.150 	-0.140 	-0.340 
0.220 	-0.030 	0.360 
0.000 	0.010 	0.210 
0.210 	0.000 	-0.510 
-0.050 	-0.160 	0.330 
0.020 	-0.030 	0.200 
0.030 	0.030 	-0.390 
-0.220 	-0.160 	0.220 
-0.110 	0.010 	0.020 
-0.210 	0.010 	-0.240 
-0.180 	-0.120 	0.170 
-0.080 	0.090 	-0.040 
