longitudinal	transverse	vertical
0.007 	0.011 	0.039 
0.109 	0.078 	0.086 
0.032 	0.049 	0.063 
-0.012 	0.005 	0.004 
0.066 	0.039 	0.083 
0.080 	0.084 	0.048 
-0.010 	0.006 	-0.018 
0.045 	0.028 	0.028 
0.091 	0.077 	0.069 
0.003 	0.038 	0.001 
0.016 	-0.004 	0.021 
0.104 	0.078 	0.072 
0.040 	0.054 	0.035 
-0.004 	0.003 	0.005 
0.072 	0.048 	0.094 
0.081 	0.082 	0.089 
-0.006 	0.017 	0.030 
0.046 	0.034 	0.061 
0.086 	0.089 	0.105 
0.014 	0.032 	0.014 
0.012 	0.008 	0.031 
0.108 	0.067 	0.079 
0.028 	0.048 	0.020 
-0.007 	0.003 	-0.013 
0.070 	0.055 	0.076 
0.074 	0.076 	0.065 
-0.014 	0.016 	0.028 
0.044 	0.022 	0.071 
0.110 	0.082 	0.088 
0.016 	0.028 	0.011 
0.023 	0.004 	-0.002 
0.132 	0.078 	0.057 
0.041 	0.055 	0.014 
0.005 	0.006 	0.001 
0.104 	0.053 	0.105 
0.078 	0.081 	0.104 
0.006 	0.018 	0.012 
0.047 	0.023 	0.061 
0.104 	0.093 	0.067 
0.005 	0.038 	-0.003 
0.001 	0.000 	0.004 
0.086 	0.064 	0.088 
0.038 	0.060 	0.039 
-0.008 	-0.006 	-0.009 
0.086 	0.045 	0.053 
0.080 	0.073 	0.059 
-0.001 	0.010 	-0.015 
0.041 	0.023 	0.051 
