qtotal (%)	Lateral Force (kN)
0.278875	94.56
0.309833333	104.26
0.341125	114.46
0.372041667	123.92
0.403375	134.15
0.434708333	143.74
0.46625	154.21
0.497041667	163.86
0.528	173.89
0.559833333	184.31
0.590916667	194.05
0.621833333	203.86
0.653083333	214.22
0.684416667	223.84
0.716208333	234.1
0.746	243.94
0.721041667	231.36
0.689583333	221.25
0.658125	210.82
0.626916667	200.94
0.596	191.11
0.5645	180.86
0.533583333	170.98
0.502083333	160.6
0.471125	151.02
0.4405	141.2
0.409083333	131.07
0.377416667	121.42
0.346875	111.64
0.315416667	101.4
0.283958333	91.34
0.252875	81.81
0.221833333	71.78
0.190666667	61.71
0.158875	51.62
0.128125	41.74
0.097166667	31.73
0.065833333	21.16
0.035333333	11.46
0.00325	1.7
-0.027375	-8.05
-0.058041667	-17.76
-0.089708333	-27.56
-0.120833333	-37.61
-0.1515	-47.33
-0.1825	-57.44
-0.214	-67.56
-0.245708333	-77.78
-0.276375	-87.75
-0.307791667	-97.66
-0.339041667	-108.37
-0.36975	-117.95
-0.401	-128.41
-0.432583333	-138.6
-0.463833333	-148.85
-0.494958333	-158.78
-0.525791667	-168.95
-0.557208333	-179.21
-0.58825	-189.28
-0.619291667	-199.5
-0.650583333	-209.63
-0.681666667	-219.84
-0.712458333	-229.98
-0.743875	-240.51
-0.719208333	-227.87
-0.68725	-217
-0.656125	-206.77
-0.624666667	-196.32
-0.593041667	-185.98
-0.56275	-175.86
-0.531291667	-165.67
-0.500208333	-155.45
-0.468916667	-144.97
-0.43775	-134.82
-0.406666667	-124.62
-0.375583333	-114.37
-0.344375	-104.3
-0.313208333	-94.16
-0.281666667	-84.18
-0.250541667	-73.68
-0.219625	-63.94
-0.188041667	-53.88
-0.157583333	-44.07
-0.126625	-34.12
-0.095083333	-24.44
-0.063833333	-14.65
-0.032625	-4.73
-0.001416667	5.11
0.029666667	14.41
0.060166667	24.67
0.091791667	34.84
0.122666667	44.92
0.154416667	54.94
0.185208333	64.84
0.216041667	74.68
0.247666667	84.74
0.279125	94.61
0.309583333	104.28
0.340958333	114.44
0.37275	124.25
0.403375	133.93
0.43525	143.88
0.46575	154
0.49725	164.07
0.528833333	174.23
