qpz (%)	Lateral Force (kN)
-0.000302283	44.84
0.002044754	54.88
0.004391791	64.64
0.006575312	74.6
0.009007961	84.54
0.011187628	94.6
0.013196069	104.45
0.015118899	114.28
0.017551548	123.98
0.019984197	133.86
0.022156154	143.96
0.024581094	154.48
0.026250941	164.02
0.028344995	174.14
0.030182212	184.35
0.032361879	194.27
0.034790673	204.28
0.036553842	214.47
0.038651751	224.55
0.041080545	235.01
0.043746904	244.44
0.044665512	231.33
0.045179186	220.85
0.04479738	210.9
0.044166446	200.72
0.043695173	191.15
0.043227754	180.99
0.042250516	171.03
0.040759603	160.68
0.039607285	151.2
0.037178491	141.51
0.035259516	131.29
0.033083704	121.56
0.031071408	111.83
0.029230336	101.63
0.026968912	92
0.024789245	81.76
0.022695191	72.05
0.020266396	61.95
0.018001117	51.98
0.015568468	41.83
0.013221432	31.73
0.011127377	21.78
0.009118936	11.35
0.007106639	1.91
0.005012585	-7.75
0.002918531	-17.47
0.000910089	-27.3
-0.001347481	-37.46
-0.003355923	-47.32
-0.005788572	-57.05
-0.008302978	-67.07
-0.010731773	-77.56
-0.01290373	-87.5
-0.015834635	-97.64
-0.017169742	-107.91
-0.019435021	-117.93
-0.022031185	-128.1
-0.023957869	-138.28
-0.026639646	-148.45
-0.028313348	-158.59
-0.03116635	-168.69
-0.033011276	-178.77
-0.03510533	-189.46
-0.037868865	-199.51
-0.040141853	-209.44
-0.041901167	-220.03
-0.043489256	-230.33
-0.045832438	-240.46
-0.047428237	-227.55
-0.048023669	-216.95
-0.047478347	-206.28
-0.047092686	-195.98
-0.046539655	-186.02
-0.045819254	-175.74
-0.045009386	-165.2
-0.043868632	-155.15
-0.041949657	-144.65
-0.040108585	-134.53
-0.037932773	-124.19
-0.035414512	-114.14
-0.033067475	-104.33
-0.030716584	-94
-0.028369547	-83.83
-0.026707409	-73.83
-0.02461721	-63.9
-0.022865605	-53.93
-0.021024534	-44.1
-0.019019947	-34.17
-0.01700765	-24.17
-0.014314309	-14.52
-0.012395334	-4.83
-0.00996654	6.19
-0.007958098	14.39
-0.005101242	24.6
-0.00258298	35.1
1.70391E-05	45.01
0.002531446	55
0.004711113	64.81
0.006805167	74.93
0.008980979	84.71
0.011238548	94.78
0.013332602	104.61
0.015344899	114.27
0.017602469	124.47
0.019871602	134.04
0.022222494	144.08
0.024145323	154.26
0.026235523	164.09
0.028415189	174.27
0.030497679	184.67
0.032256993	194.55
0.034347193	204.54
0.036690375	214.49
0.038947945	224.53
0.041719189	234.72
0.04322552	244.76
0.045144495	254.72
