U_Link_disp     U_Link_shear
0.057231     873.095
0.0570377     783.883
0.0568444     694.671
0.0566511     605.459
0.0564578     516.247
0.0562645     427.035
0.0560712     337.823
0.0558779     248.611
0.0556847     159.399
0.0554914     70.1876
0.0552981     -19.0243
0.0551048     -108.236
0.0549115     -197.448
0.0547182     -286.66
0.0545249     -375.872
0.0543316     -465.084
0.0541383     -554.296
0.053945     -643.508
0.0537517     -732.719
0.0535584     -821.931
0.0533651     -911.143
0.0531719     -1000.35
0.0529812     -1088.33
0.0528396     -1154.34
0.0527526     -1189.59
0.052663     -1213.09
0.0525418     -1231.8
0.0523616     -1247.82
0.0520935     -1261.91
0.05171     -1274.41
0.0511896     -1285.46
0.0505214     -1295.18
0.0497062     -1303.69
0.0487536     -1311.15
0.0476783     -1317.68
0.0464967     -1323.45
0.0452244     -1328.56
0.0438753     -1333.12
0.0424615     -1337.22
0.040993     -1340.94
0.039478     -1344.32
0.0379234     -1347.42
0.0363348     -1350.28
0.0347169     -1352.93
0.0330736     -1355.4
0.031408     -1357.7
0.0297229     -1359.86
0.0280207     -1361.89
0.0263031     -1363.82
0.024572     -1365.63
0.0228288     -1367.36
0.0210746     -1369.01
0.0193105     -1370.58
0.0175376     -1372.08
0.0157566     -1373.52
0.0139681     -1374.9
0.012173     -1376.22
0.0103717     -1377.5
0.00856465     -1378.73
0.00675243     -1379.92
0.00493538     -1381.07
0.00311387     -1382.19
0.00128821     -1383.26
-0.000541281     -1384.31
-0.00237436     -1385.33
-0.00421077     -1386.32
-0.0060503     -1387.28
-0.00789275     -1388.22
-0.00973794     -1389.13
-0.0115857     -1390.02
-0.0134359     -1390.89
-0.0152883     -1391.74
-0.0171429     -1392.57
-0.0189995     -1393.38
-0.020858     -1394.17
-0.0227183     -1394.95
-0.0245803     -1395.71
-0.026444     -1396.46
-0.0283091     -1397.19
-0.0301758     -1397.91
-0.0320438     -1398.61
-0.0339132     -1399.3
-0.0357838     -1399.98
-0.0376556     -1400.65
-0.0395285     -1401.31
-0.0414026     -1401.96
-0.0432777     -1402.59
-0.0451538     -1403.22
-0.0470308     -1403.84
-0.0489088     -1404.45
-0.0507876     -1405.04
-0.0526673     -1405.63
-0.0545478     -1406.22
-0.056429     -1406.79
-0.0583111     -1407.36
-0.0581178     -1318.15
-0.0579245     -1228.93
-0.0577312     -1139.72
-0.0575379     -1050.51
-0.0573446     -961.297
-0.0571513     -872.086
-0.056958     -782.874
-0.0567647     -693.662
-0.0565714     -604.45
-0.0563781     -515.238
-0.0561848     -426.026
